reference,tagged_entity,start_pos,topostext_id
2.112.1,Brindisi,1400,406179PBru
2.112.1,Rome,1420,419125PRom
2.112.1,Alps,1441,441073LAlp
2.112.1,Scingomagum,1464,451069USci
2.112.1,Pyrenees,1503,426007LPyr
2.112.1,Illiberis,1515,426030UIll
2.112.1,Cadiz,1581,365-063PGad
2.112.2,Meroe,492,169337UMer
2.112.2,Alexandria,519,312299PAle
2.112.2,Rhodes,538,364282IRho
2.112.2,Cnidus,550,367274PKni
2.112.2,Cos,565,369273PKos
2.112.2,Samos,573,377269PSam
2.112.2,Chios,584,384261PChi
2.112.2,Mitylene,594,391265PMyt
2.112.2,Tenedos,607,398261ITen
2.112.2,Sigeum,624,400262USig
2.112.2,Bosphorus,639,411291WBos
2.112.2,Carambis,663,420334UKar
2.112.2,Maeotis,691,460370WMai
2.112.2,Tanais,721,473393WTan
2.112.2,Tanais,818,473393WTan
2.112.2,Nile,853,312301WNil
2.112.2,Tanais,1055,473393WTan
2.112.2,Thule,1119,000000UThu
2.112.4,Melos,118,367244PMel
3.0.3,Gades,138,365-063PGad
3.0.3,Tanais,371,473393WTan
3.0.3,Nile,382,312301WNil
3.0.3,Mellaria,524,383000UMel
3.0.4,Calpe,135,361000LPHe
3.1.1,Tanais,466,473393WTan
3.1.1,Gades,491,365-063PGad
3.1.1,Calpe,954,361000LPHe
3.1.1,Locri,1082,382162PLoc
3.1.1,Bruttium,1110,392165RBre
3.2.1,Baetica,103,372-56RBae
3.2.1,Pyrenees,244,426007LPyr
3.2.1,Lusitania,314,390-83RLus
3.2.1,Baetica,328,372-56RBae
3.2.1,Ana,437,372-74WAna
3.2.1,Pyrenees,832,426007LPyr
3.2.1,Baetica,974,372-56RBae
3.2.1,Lusitania,986,390-83RLus
3.3.1,Baetica,12,372-56RBae
3.3.2,Gades,44,365-063PGad
3.3.2,Corduba,54,379000UCor
3.3.2,Astigi,66,375000UAst
3.3.2,Hispalis,81,374000UHis
3.3.3,Ana,158,372-74WAna
3.3.3,Onoba,207,364000UOno
3.3.3,Ana,305,372-74WAna
3.3.3,Baetis,317,374-60WBae
3.3.3,Baetis,366,374-60WBae
3.3.3,Gades,437,365-063PGad
3.3.3,Baesippo,555,362-59UBae
3.3.3,Baelo,578,361000UBae
3.3.3,Mellaria,588,383000UMel
3.3.3,Carteia,649,362000UCar
3.3.3,Tartessos,679,373000PTar
3.3.3,Calpe,710,361000LPHe
3.3.4,Salduba,80,365000USal
3.3.4,Malaca,116,367000UMal
3.3.4,Maenoba,186,367-41UMai
3.3.4,Sexifirmum,216,367000USex
3.3.4,Abdera,256,368000UAbd
3.3.4,Baetica,303,372-56RBae
3.3.4,Anas,405,372-74WAna
3.3.4,Lusitania,647,390-83RLus
3.3.5,Baetis,4,374-60WBae
3.3.5,Tarraco,102,411013UTar
3.3.5,Carthage,206,376-09PCar
3.3.5,Ilorcum,219,373000UIlu
3.3.5,Baetica,538,372-56RBae
3.3.6,Segida,75,384-65USeg
3.3.6,Ulia,107,376000UUli
3.3.6,Alba,139,371000UAbo
3.3.6,Ebora,145,368000UAip
3.3.6,Iliberri,164,372000UIli
3.3.6,Ilipula,188,374000UIli
3.3.6,Artigi,205,387-55UArt
3.3.6,Singili,245,370000USin
3.3.6,Ategua,254,378000UAte
3.3.6,Ilurco,334,373000UIlu
3.3.6,Corduba,491,379000UCor
3.3.6,Iliturgi,576,380000UIli
3.3.6,Isturgi,608,380-40UIst
3.3.6,Obulco,666,379-42UObu
3.3.7,Sacili,56,380000USac
3.3.7,Onoba,79,364000UOno
3.3.7,Corduba,107,379000UCor
3.3.7,Baetis,159,374-60WBae
3.3.7,Carbula,219,378000UCar
3.3.7,Baetis,284,374-60WBae
3.3.8,Hispalis,33,374000UHis
3.3.8,Ilipa,96,375-60UIli
3.3.8,Italica,122,374000UIta
3.3.8,Hispalis,173,374000UHis
3.3.8,Lucurgentum,274,371000ULuc
3.3.8,Baetis,365,374-60WBae
3.3.8,Baetis,421,374-60WBae
3.3.8,Nebrissa,445,369-61UNeb
3.3.8,Hasta,508,368-62UHas
3.3.9,Baetis,48,374-60WBae
3.3.9,Astigi,108,375000UAst
3.3.9,Tucci,251,377-39UTuc
3.3.9,Itucci,284,378000UIpt
3.3.9,Ucubi,312,377000UUcu
3.3.9,Urso,337,372000UUrs
3.3.9,Munda,396,374000UMun
3.3.9,Astigi,466,375000UAst
3.3.9,Ostippo,477,373000UOst
3.3.9,Callet,510,370000UCal
3.3.9,Callicula,518,372000UCal
3.3.9,Ilipula,555,374000UIli
3.3.10,Baetis,35,374-60WBae
3.3.10,Anas,55,372-74WAna
3.3.10,Lusitania,212,390-83RLus
3.3.10,Hispalis,246,374000UHis
3.3.10,Lusitania,299,390-83RLus
3.3.10,Corduba,372,379000UCor
3.3.10,Lusitania,463,390-83RLus
3.3.10,Baetica,557,372-56RBae
3.3.10,Seria,641,383000USer
3.3.10,Nertobriga,687,415000UNer
3.3.10,Segida,723,384-65USeg
3.3.10,Ugultunia,759,383000UCon
3.3.10,Celtica,954,490070RKel
3.3.10,Acinippo,975,368000UAci
3.3.10,Arunda,985,367000UAru
3.3.11,Corduba,102,379000UCor
3.3.11,Mellaria,170,383000UMel
3.3.11,Mirobriga,180,388000UMir
3.3.11,Sisapo,195,386000USis
3.3.12,Gades,23,365-063PGad
3.3.12,Regina,37,367000UTur
3.3.12,Ulia,78,376000UUli
3.3.12,Urgia,109,370000UUrg
3.3.12,Lacippo,259,364000ULac
3.3.12,Baesippo,268,362-59UBae
3.3.12,Callet,278,370000UCal
3.3.12,Iptuci,307,378000UIpt
3.3.12,Saudo,340,368000USau
3.3.13,Carthage,154,376-09PCar
3.3.14,Baetica,38,372-56RBae
3.3.14,Castulo,64,380000UCas
3.3.14,Gades,93,365-063PGad
3.3.14,Carteia,222,362000UCar
3.4.1,trophies,158,425029ATrP
3.4.1,Pyrenees,185,426007LPyr
3.4.1,Alps,230,441073LAlp
3.4.1,Carthage,380,376-09PCar
3.4.1,Tarraco,393,411013UTar
3.4.1,Caesar Augusta,405,416000UCAu
3.4.1,Clunia,424,418000UCol
3.4.1,Asturica,435,425000UAst
3.4.1,Lucus,448,430000ULuc
3.4.2,Tagus,211,390-89WTag
3.4.2,Baetica,354,372-56RBae
3.4.2,New Carthage,451,376-09PCar
3.4.2,Caesarea,545,366022UIol
3.4.2,Mauritania,557,350000RMau
3.4.2,Ilici,706,382000UIli
3.4.3,Lucentum,13,384000ULuc
3.4.3,Dianium,45,388001UDia
3.4.3,Sucro,82,392-03USuc
3.4.3,Celtiberia,280,403-29RCel
3.4.3,Valentia,292,395000UVal
3.4.3,Saguntum,389,397-03USag
3.4.3,Iberus,527,407006WEbr
3.4.3,Juliobriga,641,430000UIul
3.4.3,Varia,719,425000UVar
3.4.3,Iberia,809,390000RIbe
3.4.4,Tarraco,73,411013UTar
3.4.4,Carthage,116,369103PCar
